BPC,CCR,Report Date,Entry,Age,ctznRace,ctznSex,Closed,Unit,Allegation,Finding,ofcrRace,ofcrSex
16-19,67145,01-09-2016,Telephone (or TDD),41,Black,Male,01/14/2016,UNKNOWN COMMAND,Property,Admin. Closure,Unknown,Unknown
16-19,67145,01-09-2016,Telephone (or TDD),41,Black,Male,01/14/2016,UNKNOWN COMMAND,Search,Admin. Closure,Unknown,Unknown
16-20,67146,01-09-2016,Walk In,52,Black,Male,04-12-2016,TACTICAL RESPONSE UNIT,Demeanor,Not Sustained,Black,Male
16-20,67146,01-09-2016,Walk In,52,Black,Male,04-12-2016,TACTICAL RESPONSE UNIT,Demeanor,Not Sustained,Black,Male
16-20,67146,01-09-2016,Walk In,52,Black,Male,04-12-2016,TACTICAL RESPONSE UNIT,Harassment,No Charge,Black,Male
16-20,67146,01-09-2016,Walk In,52,Black,Male,04-12-2016,TACTICAL RESPONSE UNIT,Procedure,No Charge,Black,Male
16-20,67146,01-09-2016,Walk In,52,Black,Male,04-12-2016,TACTICAL RESPONSE UNIT,Procedure,Not Sustained,White,Male
16-21,67147,01-11-2016,Telephone (or TDD),45,Black,Female,04-12-2016,2ND PRECINCT,Procedure,Exonerated,Black,Male
16-21,67147,01-11-2016,Telephone (or TDD),45,Black,Female,04-12-2016,2ND PRECINCT,Procedure,Exonerated,Black,Male
16-21,67147,01-11-2016,Telephone (or TDD),45,Black,Female,04-12-2016,2ND PRECINCT,Procedure,Not Sustained,Black,Male
16-21,67147,01-11-2016,Telephone (or TDD),45,Black,Female,04-12-2016,2ND PRECINCT,Procedure,Not Sustained,Black,Male
16-22,67148,01-11-2016,Email,30,Black,Female,01/15/2016,6TH PRECINCT,Property,Admin. Closure,Black,Female
16-23,67149,01-12-2016,Telephone (or TDD),60,Black,Female,03/22/2016,9TH PRECINCT,Demeanor,Unfounded,Black,Male
16-24,67150,01-12-2016,Telephone (or TDD),38,Black,Male,01/15/2016,UNKNOWN COMMAND,Demeanor,Admin. Closure,Unknown,Unknown
16-25,67151,01-12-2016,Telephone (or TDD),38,Black,Male,03/28/2016,UNKNOWN COMMAND,Demeanor,Not Sustained,Unknown,Unknown
16-26,67152,01/13/2016,Telephone (or TDD),45,Black,Male,02/24/2016,6TH PRECINCT,Harassment,Admin. Closure,Black,Male
16-26,67152,01/13/2016,Telephone (or TDD),45,Black,Male,02/24/2016,6TH PRECINCT,Procedure,Admin. Closure,Black,Male
16-27,67153,01/13/2016,Online,30,Black,Female,01/14/2016,6TH PRECINCT,Arrest,Void,Black,Female
16-27,67153,01/13/2016,Online,30,Black,Female,01/14/2016,6TH PRECINCT,Property,Void,Black,Female
16-28,67154,01/13/2016,Online,30,Black,Female,01/14/2016,6TH PRECINCT,Arrest,Void,Black,Female
16-28,67154,01/13/2016,Online,30,Black,Female,01/14/2016,6TH PRECINCT,Property,Void,Black,Female
16-29,67155,01/13/2016,Telephone (or TDD),38,Black,Male,02/16/2016,OFFICE OF THE CHIEF INVESTIGATOR,Demeanor,Admin. Closure,Black,Male
16-29,67155,01/13/2016,Telephone (or TDD),38,Black,Male,02/16/2016,OFFICE OF THE CHIEF INVESTIGATOR,Service,Admin. Closure,Black,Male
16-30,67156,01/13/2016,Telephone (or TDD),49,Black,Male,01/16/2016,MAJOR VIOLATORS,Property,Admin. Closure,Black,Male
16-31,67157,01/13/2016,Telephone (or TDD),23,Black,Female,04-12-2016,2ND PRECINCT,Entry,No Charge,White,Male
16-31,67157,01/13/2016,Telephone (or TDD),23,Black,Female,04-12-2016,2ND PRECINCT,Entry,Sustained,Black,Male
16-31,67157,01/13/2016,Telephone (or TDD),23,Black,Female,04-12-2016,2ND PRECINCT,Entry,Sustained,Asian,Male
16-31,67157,01/13/2016,Telephone (or TDD),23,Black,Female,04-12-2016,2ND PRECINCT,Entry,Sustained,Black,Male
16-31,67157,01/13/2016,Telephone (or TDD),23,Black,Female,04-12-2016,2ND PRECINCT,Entry,Sustained,White,Male
16-31,67157,01/13/2016,Telephone (or TDD),23,Black,Female,04-12-2016,2ND PRECINCT,Entry,Sustained,Hispanic,Male
16-31,67157,01/13/2016,Telephone (or TDD),23,Black,Female,04-12-2016,2ND PRECINCT,Harassment,No Charge,Black,Male
16-31,67157,01/13/2016,Telephone (or TDD),23,Black,Female,04-12-2016,2ND PRECINCT,Harassment,No Charge,White,Male
16-31,67157,01/13/2016,Telephone (or TDD),23,Black,Female,04-12-2016,2ND PRECINCT,Harassment,No Charge,Black,Male
16-31,67157,01/13/2016,Telephone (or TDD),23,Black,Female,04-12-2016,2ND PRECINCT,Harassment,Not Sustained,Asian,Male
16-31,67157,01/13/2016,Telephone (or TDD),23,Black,Female,04-12-2016,2ND PRECINCT,Search,No Charge,Black,Male
16-31,67157,01/13/2016,Telephone (or TDD),23,Black,Female,04-12-2016,2ND PRECINCT,Search,No Charge,White,Male
